Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,35.075001,35.355000,34.310001,34.465000,26.894344,57813000
2012-01-09,34.500000,34.759998,33.285000,33.494999,26.137413,82144600
2012-01-16,33.869999,34.060001,33.590000,34.044998,26.566607,61562600
2012-01-23,34.000000,34.310001,33.615002,33.720001,26.312990,74576400
2012-01-30,33.645000,34.244999,33.514999,34.040001,26.562700,68755800
2012-02-06,33.919998,34.724998,33.709999,33.970001,26.508076,82590400
2012-02-13,34.209999,34.625000,34.044998,34.525002,26.941156,65057600
2012-02-20,34.439999,34.750000,34.250000,34.500000,26.921646,50796600
2012-02-27,34.345001,34.990002,34.259998,34.590000,26.991888,71889600
2012-03-05,34.509998,34.869999,34.250000,34.755001,27.120638,104931000
2012-03-12,34.740002,35.310001,34.669998,35.080002,27.374249,90019800
2012-03-19,35.105000,35.799999,34.965000,35.744999,28.304733,71163000
2012-03-26,35.869999,37.195000,35.794998,37.005001,29.302465,116846800
2012-04-02,36.915001,37.099998,36.535000,36.735001,29.088661,51587000
2012-04-09,36.480000,36.555000,35.910000,35.970001,28.482901,60290200
2012-04-16,36.110001,37.240002,36.070000,37.064999,29.349972,72734000
2012-04-23,36.990002,38.910000,36.665001,38.314999,30.339787,81241200
2012-04-30,38.209999,38.820000,37.965000,38.500000,30.486284,85690000
2012-05-07,38.485001,38.869999,38.244999,38.735001,30.672369,56861000
2012-05-14,38.560001,38.625000,36.735001,37.025002,29.318302,103837800
2012-05-21,37.105000,37.924999,36.910000,37.615002,29.785480,75953600
2012-05-28,37.865002,37.865002,36.505001,36.544998,28.938223,60409400
2012-06-04,36.514999,37.685001,36.279999,37.619999,29.789448,64105800
2012-06-11,37.860001,38.099998,37.169998,38.044998,30.125988,65638800
2012-06-18,37.980000,38.209999,37.310001,37.470001,30.078651,64336200
2012-06-25,37.230000,39.095001,37.084999,39.095001,31.383102,64649000
2012-07-02,39.049999,39.680000,38.919998,39.075001,31.367054,41267600
2012-07-09,39.029999,39.270000,38.169998,38.639999,31.017853,66256000
2012-07-16,38.549999,39.330002,38.099998,38.514999,30.917530,87123600
2012-07-23,38.275002,40.119999,38.049999,40.005001,32.113598,62091600
2012-07-30,39.884998,40.665001,39.759998,40.415001,32.442726,70463400
2012-08-06,40.505001,40.625000,39.305000,39.395000,31.623930,80913400
2012-08-13,39.310001,39.730000,39.049999,39.529999,31.732298,46797000
2012-08-20,39.540001,39.689999,38.020000,38.470001,30.881401,55311100
2012-08-27,38.560001,38.560001,37.130001,37.400002,30.022457,86925700
2012-09-03,37.520000,38.500000,37.110001,37.900002,30.423828,74375700
2012-09-10,37.959999,38.549999,37.509998,38.119999,30.600431,98244900
2012-09-17,38.160000,39.000000,37.880001,38.029999,30.735693,200165400
2012-09-24,37.810001,38.349998,37.660000,37.930000,30.654879,96775900
2012-10-01,38.160000,38.689999,38.110001,38.580002,31.180204,62526900
2012-10-08,38.540001,38.830002,38.020000,38.230000,30.897345,59171300
2012-10-15,38.090000,38.250000,37.400002,37.400002,30.226538,97974300
2012-10-22,37.369999,37.480000,36.540001,37.040001,29.935598,62513600
2012-10-29,37.160000,37.650002,36.919998,37.080002,29.967918,33503300
2012-11-05,36.950001,37.480000,36.049999,36.290001,29.329441,64775000
2012-11-12,36.290001,36.650002,35.860001,36.560001,29.547653,69051600
2012-11-19,36.849998,37.950001,36.810001,37.930000,30.654879,40351600
2012-11-26,37.580002,37.980000,36.799999,37.919998,30.646799,65410200
2012-12-03,37.900002,37.939999,37.080002,37.709999,30.686184,58849900
2012-12-10,37.700001,37.990002,37.500000,37.660000,30.645493,57199200
2012-12-17,37.790001,37.820000,36.529999,36.889999,30.018913,97658000
2012-12-24,36.720001,36.799999,35.950001,35.970001,29.270281,40267900
2012-12-31,35.880001,37.869999,35.580002,37.660000,30.645493,69193000
2013-01-07,37.520000,37.520000,36.520000,36.910000,30.035204,70746700
2013-01-14,36.950001,37.709999,36.799999,37.700001,30.678049,59069000
2013-01-21,37.740002,37.740002,36.910000,37.049999,30.149122,62119200
2013-01-28,37.070000,37.709999,36.860001,37.540001,30.547857,69213400
2013-02-04,37.480000,39.060001,37.299999,38.770000,31.548758,75290600
2013-02-11,38.709999,38.830002,36.540001,37.419998,30.450197,110757100
2013-02-18,37.509998,38.520000,37.410000,38.520000,31.345316,62037800
2013-02-25,38.560001,38.970001,37.720001,38.700001,31.491796,78645700
2013-03-04,38.599998,39.419998,38.450001,39.220001,31.914927,61107400
2013-03-11,39.200001,39.380001,38.549999,38.830002,31.597588,70289000
2013-03-18,38.610001,40.430000,38.570000,40.040001,32.818062,85135900
2013-03-25,40.110001,40.700001,39.959999,40.439999,33.145908,58172000
2013-04-01,40.389999,40.900002,40.009998,40.080002,32.850861,57364300
2013-04-08,40.060001,41.410000,39.770000,41.080002,33.670479,74874900
2013-04-15,40.849998,42.770000,40.049999,42.660000,34.965500,102304300
2013-04-22,42.520000,42.959999,42.080002,42.099998,34.506500,58485400
2013-04-29,42.240002,42.560001,41.490002,42.240002,34.621258,63921300
2013-05-06,42.290001,42.709999,41.849998,42.150002,34.547493,55818400
2013-05-13,42.139999,43.430000,42.000000,42.970001,35.219585,59562300
2013-05-20,42.950001,42.950001,41.500000,42.240002,34.621258,55206700
2013-05-27,42.599998,43.049999,39.990002,39.990002,32.777096,78457600
2013-06-03,39.950001,41.730000,39.630001,41.410000,33.940952,77878700
2013-06-10,41.500000,41.520000,39.680000,40.340000,33.063961,70846400
2013-06-17,40.540001,41.439999,38.970001,39.759998,32.813808,86076400
2013-06-24,39.450001,40.880001,39.130001,40.110001,33.102669,71006500
2013-07-01,40.500000,40.919998,40.029999,40.520000,33.441048,38669600
2013-07-08,40.650002,41.150002,40.419998,41.029999,33.861946,52412100
2013-07-15,41.049999,41.250000,39.500000,41.090000,33.911453,84617000
2013-07-22,41.080002,41.139999,40.009998,40.639999,33.540077,50763900
2013-07-29,40.610001,40.750000,39.910000,40.220001,33.193451,71976200
2013-08-05,40.180000,40.470001,40.020000,40.160000,33.143936,46383300
2013-08-12,40.040001,40.099998,38.709999,39.049999,32.227852,76098800
2013-08-19,39.049999,39.139999,38.099998,38.520000,31.790445,59560900
2013-08-26,38.599998,38.599998,37.799999,38.180000,31.509840,77240600
2013-09-02,38.270000,38.730000,37.799999,38.349998,31.650143,66474500
2013-09-09,38.520000,38.779999,38.270000,38.689999,31.930742,58097000
2013-09-16,39.029999,39.669998,38.580002,39.400002,32.753201,89190700
2013-09-23,39.160000,39.189999,38.150002,38.400002,31.921890,69096300
2013-09-30,38.189999,38.299999,36.910000,37.200001,30.924339,88617100
2013-10-07,37.080002,37.919998,36.830002,37.770000,31.398174,87620100
2013-10-14,37.560001,38.779999,37.509998,38.779999,32.237782,88671400
2013-10-21,38.950001,39.369999,38.599998,39.029999,32.445606,74206700
2013-10-28,39.020000,39.959999,38.990002,39.610001,32.927761,70395600
2013-11-04,39.709999,40.250000,39.220001,40.049999,33.293533,66161900
2013-11-11,40.009998,40.439999,39.619999,40.220001,33.434860,54756200
2013-11-18,40.240002,40.490002,39.919998,40.430000,33.609436,87752000
2013-11-25,40.480000,40.880001,39.689999,40.189999,33.409924,46849700
2013-12-02,40.099998,40.500000,39.750000,40.459999,33.869991,77255500
2013-12-09,40.400002,40.500000,39.180000,39.230000,32.840332,77023500
2013-12-16,39.459999,40.189999,38.869999,40.040001,33.518394,93131300
2013-12-23,40.099998,40.790001,39.869999,40.660000,34.037415,31077500
2013-12-30,40.770000,41.389999,40.349998,40.459999,33.869991,45758700
2014-01-06,40.480000,40.720001,39.520000,40.130001,33.593739,65608400
2014-01-13,40.000000,40.130001,39.279999,39.279999,32.882179,64793700
2014-01-20,39.639999,40.090000,38.820000,38.840000,32.513844,58756300
2014-01-27,38.820000,39.080002,37.720001,37.820000,31.659981,77140500
2014-02-03,38.020000,38.939999,37.099998,37.950001,31.768816,97640300
2014-02-10,38.070000,39.020000,37.840000,38.930000,32.589199,73337600
2014-02-17,37.980000,38.110001,36.889999,37.180000,31.124220,114803300
2014-02-24,37.299999,38.389999,37.220001,38.200001,31.978086,99450700
2014-03-03,37.880001,38.610001,37.849998,38.549999,32.271088,85223600
2014-03-10,38.549999,38.840000,37.880001,38.169998,31.952976,77016600
2014-03-17,38.169998,38.830002,37.950001,38.439999,32.433956,89382700
2014-03-24,38.480000,39.029999,38.209999,38.950001,32.864273,72961000
2014-03-31,38.990002,39.029999,38.040001,38.220001,32.248329,94282200
2014-04-07,38.270000,39.400002,38.259998,38.630001,32.594269,83206900
2014-04-14,38.709999,40.720001,38.400002,40.720001,34.357719,107386000
2014-04-21,40.470001,41.009998,40.349998,41.009998,34.602413,70312300
2014-04-28,40.820000,41.279999,40.259998,40.950001,34.551785,81609900
2014-05-05,40.650002,40.970001,40.450001,40.869999,34.484287,47694100
2014-05-12,40.880001,41.220001,40.439999,40.889999,34.501156,56724800
2014-05-19,40.599998,40.930000,40.419998,40.580002,34.239594,40491900
2014-05-26,40.560001,40.919998,40.480000,40.910000,34.518036,39132800
2014-06-02,40.750000,41.060001,40.630001,40.990002,34.585537,44722200
2014-06-09,40.849998,41.150002,40.250000,40.369999,34.062405,46911800
2014-06-16,40.189999,41.880001,40.150002,41.689999,35.440712,95000800
2014-06-23,41.459999,42.290001,41.330002,42.189999,35.865761,81261600
2014-06-30,41.980000,42.490002,41.820000,42.230000,35.899765,39801100
2014-07-07,41.959999,42.290001,41.549999,41.970001,35.678734,51311500
2014-07-14,41.990002,42.470001,41.830002,42.430000,36.069782,61986900
